sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
London Borough of Bexley,1,18,5,0,1,0,0
London Borough of Bromley,1,2,2,1,0,0,0
London Borough of Croydon,1,1,1,1,0,0,0
London Borough of Croydon ,1,1,0,0,0,1,0
London Borough of Ealing,1,5,0,0,0,1,0
London Borough of Hackney ,1,1,1,1,0,0,0
London Borough of Hammersmith & Fulham,1,18,5,0,1,0,0
Mid Cheshire Hospitals NHS Foundation Trust,1,1,0,0,0,1,0
Mid Essex Clinical Commissioning Group Trust,1,4,3,0,1,0,0
Langley Health Centre,1,5,0,0,0,1,0
NSL Care Services,1,1,0,0,0,1,0
NHS Stockport Clinical Commission Group,1,2,1,1,0,0,0
NHS Sussex,1,2,2,1,0,0,0
NHS University Hospitals Trust Plymouth ,1,1,1,1,0,0,0
Association of Anaesthetists of GB and Ireland,1,10,8,0,1,0,0
NHS Wales Shared Services Partnership,1,5,2,0,0,1,0
NICE ,1,1,1,1,0,0,0
NORTHAMPTON GENERAL HOSPITAL NHS TRUST ,1,1,1,1,0,0,0
NPS/NOMS,1,1,1,0,0,0,0
NRS Healthcare,1,2,2,1,0,0,0
Nant y Gaer Hall Nursing Home,1,1,1,1,0,0,0
NHS Specialist Pharmacy Service,1,8,9,0,1,0,0
National Ambulance Service,1,1,0,0,0,1,0
Association of Anaesthetists Great Britain and Ireland,1,4,3,0,0,1,0
National Autistic Society,1,8,1,0,1,0,0
National Care Consortium Ltd,1,2,2,1,0,0,0
National Child Safeguarding Review Panel,1,6,4,0,1,0,0
National Clinical Director for Children & Young People,1,3,1,0,0,1,0
National Coasteering Charter,1,1,2,1,0,0,0
National Director FOR Mental Health,1,4,1,0,0,1,0
National Diving and Activity Centre,1,3,3,1,0,0,0
NHS Staffordshire and Stoke-on-Trent ICB,1,8,2,0,0,1,0
NHS Southern Derbyshire Clinical Commissioning Group,1,3,0,0,0,1,0
Attleborough Surgery,1,1,1,1,0,0,0
NHS North Norfolk Clinical Commissioning Group,1,2,1,0,0,1,0
Association of Chief Fire Officers,1,9,0,0,0,1,0
NHS Greater Manchester Integrated Care Partnership Board,1,3,4,1,0,0,0
NHS Hardwick,1,4,4,1,0,0,0
NHS Herefordshire and Worcestershire ICB,1,8,2,0,0,1,0
Association of British Travel Agents,1,2,2,1,0,0,0
NHS Kernow,1,3,1,0,0,1,0
NHS Lewisham Commissioning Group,1,2,1,0,0,1,0
NHS Lincolnshire West Clinical Commissioning Group,1,4,1,0,0,1,0
NHS Norfolk,1,2,1,0,1,0,0
NHS North Western Deanery,1,7,3,0,0,1,0
NHS South Sefton Clinical Commissioning Group,1,7,0,0,0,1,0
Association of British Neurologist,1,9,11,0,1,0,0
NHS Nottingham,1,3,0,0,0,1,0
NHS Pathways.,1,3,3,1,0,0,0
NHS Pathways/ NHS Digital,1,5,0,0,0,0,1
NHS Pathways ,1,1,1,1,0,0,0
NHS Professionals Limited,1,2,0,0,0,0,1
NHS Professionals Ltd,1,2,2,1,0,0,0
"NHS Quality, Safety and Investigations",1,1,0,0,0,1,0
"NHS Shropshire, Telford and Wrekin ICB",1,8,2,0,0,1,0
National Express West Midlands,1,1,1,1,0,0,0
National Fire Chiefs’ Council,1,4,4,1,0,0,0
National General Medical Council,1,3,0,0,0,1,0
Navigo,1,1,1,1,0,0,0
National Referral Support Service,1,2,2,1,0,0,0
National Register of Communication Professionals working with Deaf and Deafblind people (NRCPD),1,3,3,1,0,0,0
National Research Ethics Service,1,3,0,0,0,1,0
National Screening Committee,1,4,2,0,0,1,0
National Society for the Prevention of Cruelty to Children,1,2,0,0,0,1,0
National Trading Standards Board,1,6,3,0,0,0,1
National Tree Safety Group,1,1,0,0,0,1,0
National Water Safety Forum,1,12,5,0,1,0,0
NaturPlus UK,1,3,3,1,0,0,0
Neasham Road Surgery,1,2,2,1,0,0,0
National Grid,1,9,0,0,0,1,0
Neath Port Talbot Council,1,5,2,0,1,0,0
Neath Port Talbot County Borough Council,1,5,0,0,0,0,1
Neonatal Network,1,6,7,0,1,0,0
Network Agencies Estate Agents,1,2,3,0,1,0,0
Ashton Lodge Care Home ,1,1,1,1,0,0,0
Network Rail ,1,1,1,1,0,0,0
Neville Hall Hospital,1,4,2,0,0,0,1
New Court Surgery,1,1,1,1,0,0,0
New Cross Hospital NHS Trust,1,2,0,0,0,1,0
National Rail Infrastructure Limited,1,1,1,1,0,0,0
National Rail,1,1,1,1,0,0,0
Aspray House Nursing Home ,1,1,1,1,0,0,0
National Police Council,1,2,1,0,0,0,1
National Health Service,1,2,2,1,0,0,0
National Highways Limited,1,3,3,1,0,0,0
National Highways Midlands region,1,3,0,0,0,1,0
Association of Ambulance Chief Executives  ,1,1,1,1,0,0,0
National Infusion and Vascular Access Society,1,5,4,0,1,0,0
National Institute for Cardiovascular Outcomes Research,1,4,1,0,1,0,0
Association of Ambulance,1,3,2,0,1,0,0
National Institute for Health and Care Excellence (NICE),1,3,3,1,0,0,0
National Institute for Health care and Research,1,6,5,0,0,1,0
National Institute for Healthcare and Clinical Excellence,1,3,3,1,0,0,0
Association for Petroleum and Explosives Administration,1,4,2,0,1,0,0
"National Medical Director, NHS England",1,2,0,0,0,1,0
National Medical Examiner,1,3,2,0,1,0,0
National Open College Network as part of the Construction Plant Competence Construction Scheme,1,6,7,0,1,0,0
National Pharmaceutical Association,1,8,9,0,1,0,0
National Pharmacy Association,1,4,4,1,0,0,0
National Plant Operators Scheme,1,6,7,0,1,0,0
National Police Air Service,1,4,4,1,0,0,0
Association Ambulance Chief Executives,1,2,2,1,0,0,0
NHS England: Wales and Scotland,1,5,0,0,0,1,0
NHS England: Department of Health,1,3,4,0,1,0,0
NHS England  ,1,1,1,1,0,0,0
Minister of State for Care and Mental Health,1,4,5,0,0,1,0
Athena Care Homes (UK) Limited,1,2,0,0,0,1,0
Aston Medical School,1,6,1,0,0,1,0
Milton Keynes Urgent Care Service ,1,1,0,0,0,1,0
"Minister for Education, Wales",1,9,8,0,1,0,0
Minister for Health,1,3,2,0,0,1,0
Minister for Health Welsh Assembly Government,1,2,1,0,0,1,0
Minister for Health and Social Services,1,3,1,0,1,0,0
Minister for Prisons,1,2,1,0,0,1,0
Minister of Defence,1,2,1,0,0,1,0
Minister of State for Children and Families,1,9,8,0,1,0,0
Ministry of Defence ,1,1,1,1,0,0,0
"Minister of State for Disabled People, Health and Work",1,8,2,0,0,1,0
"Minister of State for Education, Department of Education, Orchard House, 20 Great Smith St, London SW1P 3BT",1,4,0,0,0,1,0
Minister of State for Victims and Sentencing,1,5,0,0,0,1,0
"Minister of State, Minister for Social Security and Disability, Department for Work and Pensions, Caxton House, Tothill Street, London SW1H 9NA",1,4,0,0,0,1,0
Minister of Suicide Prevention,1,4,3,0,0,1,0
Ministry for Housing and Local Government,1,1,1,1,0,0,0
Association of the British Pharmaceutical Industry,1,3,0,0,0,1,0
"Ministry of Culture, Tourism and Civil Aviation",1,5,1,0,0,1,0
Association of Train Operating Companies,1,2,1,0,0,1,0
Milton Keynes City Council ,1,1,1,1,0,0,0
Milton Keynes City Council,1,5,4,0,1,0,0
Milton Keynes Adult Social Care,1,2,2,1,0,0,0
Mills Family Ltd,1,2,2,1,0,0,0
Mid and South Essex Integrated Care Board,1,3,3,1,0,0,0
Atrumed Ltd,1,2,2,1,0,0,0
Mid and West Wales Fire and Rescue Service,1,2,2,1,0,0,0
Middlesbrough Council,1,7,7,1,0,0,0
Midgehole Working Mens Club,1,1,1,1,0,0,0
Midlands Partnership NHS Foundation Trust ,1,1,1,1,0,0,0
Midlands Partnership NHS Foundation trust,1,3,0,0,0,0,1
Midlands Partnership Trust,1,2,2,1,0,0,0
Atlantic Reach Limited,1,1,1,1,0,0,0
Midlands and Lancashire Commissioning Support Unit,1,2,1,0,0,1,0
Midway Pharmacy,1,2,2,1,0,0,0
Midwifery and Maternity Portsmouth Hospitals NHS Trust,1,2,1,0,1,0,0
Mildmay Medical Practice,1,1,0,0,0,1,0
Milestones Trust,1,1,0,0,0,1,0
Milford House Care Home,1,3,0,0,0,1,0
Military Aviation Authority,1,2,0,0,0,1,0
Military of Defence,1,1,1,1,0,0,0
Mill View Nursing Home,1,3,0,0,0,1,0
Millbrook Healthcare Limited,1,1,0,0,0,0,1
Ministry of Defence ,1,1,1,1,0,0,0
Association of Police and Crime Commissioners,1,8,8,1,0,0,0
NHS England and Tatiana Aesthetic Dermatology Clinic,1,5,4,0,0,1,0
Association of Independent Gas Transporters,1,4,0,0,0,1,0
Mylan Pharmaceuticals,1,8,2,0,1,0,0
NAViGO Grimsby,1,3,1,0,0,1,0
NEAS Foundation Trust,1,4,3,0,1,0,0
NEAS NHS Trust,1,2,1,0,0,1,0
NEATH PORT TALBOT COUNCIL,1,3,3,1,0,0,0
NHS 111,1,3,0,0,0,1,0
NHS Birmingham and Solihull ICB,1,8,2,0,0,1,0
NHS Black Country ICB,1,8,2,0,0,1,0
Association of Manufacturers Of Domestic Appliances,1,12,5,0,1,0,0
NHS Coastal West Sussex Clinical Commissioning Group,1,2,2,1,0,0,0
"Ministry of Housing,",1,3,1,0,0,1,0
NHS Coventry and Warwickshire ICB,1,8,2,0,0,1,0
NHS Derby & Derbyshire Clinical Commissioning Group,1,3,1,0,0,1,0
"Association of Directors of Environment, Economy, Planning & Transport",1,3,3,1,0,0,0
NHS East Leicestershire and Rutland CGC,1,3,0,0,0,1,0
Association of Directors of Adult Social Services,1,5,0,0,0,1,0
Association of Coloproctology of Great Britain and Ireland,1,5,4,0,1,0,0
NHS England Improvement (PFDs),1,4,1,0,0,1,0
NHS England NHS Improvements,1,2,2,1,0,0,0
Association of Coloproctology of Great Britain,1,3,4,0,1,0,0
My The Orchards Ltd,1,2,0,0,0,1,0
My Care Ltd,1,2,0,0,0,1,0
Musgrove Park Hospital ,1,1,1,1,0,0,0
Mundesley Medical Centre,1,2,1,0,0,1,0
Association of Manufacturers of Domestic Electrical Appliances,1,7,8,0,1,0,0
Ministry of Justice (Coroners),1,1,1,1,0,0,0
Ministry of Justice/HMP Wandsworth,1,5,3,0,0,1,0
Minster Care Group,1,3,1,0,1,0,0
Mitie Care & Custody,1,7,0,0,0,1,0
Mitie Care and Custody Ltd,1,2,0,0,0,1,0
Mitie Group,1,3,0,0,0,1,0
Monmouth County Council,1,1,2,0,0,1,0
Moorbridge School,1,5,5,1,0,0,0
Moorfield House Surgery,1,5,0,0,0,1,0
Moorfields Eye Hospital NHS Foundation Trust,1,1,1,1,0,0,0
Morecambe Bay Clinical Commissioning Group,1,4,1,0,0,0,1
Morton Hall Immigration Removal Centre,1,2,0,0,0,1,0
Moss Farm,1,3,0,0,0,0,1
Motor Cross Federation,1,1,1,1,0,0,0
Motorsport UK,1,20,22,0,1,0,0
Mount Vernon Hospital,1,1,0,0,0,1,0
Mountfield Surgery,1,2,2,1,0,0,0
Mulberry Court Care Home,1,2,0,0,0,1,0
Lapal House and Lodge Care Home,1,2,0,0,0,1,0
Langford Centre,1,2,2,1,0,0,0
Greater Manchester Integrated Care Board ,1,1,1,1,0,0,0
Harmoni South East,1,3,1,0,0,1,0
Hampshire and Isle of Wight Integrated Care Board,1,3,3,1,0,0,0
Handicare Accessibility Ltd,1,2,2,1,0,0,0
Hands of Light Academy,1,1,1,1,0,0,0
Happy at Home Community Care Services Ltd ,1,1,0,0,0,1,0
Harbour Health Care Limited,1,1,0,0,0,0,1
Harbour Healthcare Limited,1,1,0,0,0,0,1
Harden & Bingley Park Ltd,1,1,1,1,0,0,0
Haringey Council,1,1,1,1,0,0,0
Harmoni HS,1,1,1,1,0,0,0
Harrogate & Rural District Clinical Commissioning Group,1,1,1,1,0,0,0
Hampshire and IOW Constabulary,1,2,0,0,1,0,0
Harrogate Borough council,1,3,2,0,1,0,0
Harrogate District Hospital,1,1,0,0,0,1,0
Harry Sotnick House,1,3,1,0,0,1,0
Hart Care Nursing and Residential Home,1,1,1,1,0,0,0
Hartlepool Borough Council,1,2,2,1,0,0,0
Hartlepool Council,1,7,7,1,0,0,0
Hatton Traffic Management,1,4,4,1,0,0,0
Haughton Thornley Medical Centres,1,2,2,1,0,0,0
Haulage Contractors  Limited,1,1,0,0,0,1,0
Hampshire and Isle of Wight Healthcare Foundation NHS Trust,1,2,2,1,0,0,0
Hampshire Police Constabulary,1,5,2,0,0,1,0
Highgate Care Home,1,2,1,0,1,0,0
Hackney Carriage Association for the area of Kingston Upon Hull,1,3,1,0,0,1,0
Balfour Beatty Route Manager,1,2,1,0,1,0,0
HMPPS ,1,1,1,1,0,0,0
HMPS,1,1,1,1,0,0,0
HMYOI Cookham Wood,1,1,1,1,0,0,0
HSB Engineering Insurance Services Limited,1,8,2,0,0,1,0
HSE,1,2,2,1,0,0,0
HSIB,1,5,5,1,0,0,0
HUTH,1,1,0,0,0,0,1
Hackney Alcohol Recovery Centre,1,3,0,0,0,1,0
Hainault Surgery,1,2,0,0,0,1,0
Hampshire Police,1,2,0,0,0,0,1
Halfords Group PLC,1,1,0,0,0,1,0
Halton Clinical Commissioning Group,1,2,1,0,0,0,1
Hamerton Zoological Park,1,6,2,0,0,1,0
Hamilton Community Homes Ltd,1,1,1,1,0,0,0
Hampshire & Isle of Wight Constubulary,1,1,2,0,0,1,0
Hampshire Constabulary Police,1,1,1,1,0,0,0
Bailey Trailers Ltd,1,1,1,1,0,0,0
Hampshire Highways,1,2,2,1,0,0,0
Hampshire NHS Trust,1,2,2,1,0,0,0
Haven Day Care Centre,1,2,1,0,0,0,1
Havering Highways,1,1,2,0,0,1,0
Havering and Redbridge University Hospitals NHS Trust,1,2,1,0,1,0,0
Heritage Attractions Ltd,1,3,0,0,0,0,1
Heaton Norris Health Centre,1,3,1,0,0,1,0
BUPA Care Services,1,2,1,0,1,0,0
Hempstead Valley Shopping Centre,1,2,0,0,0,0,1
Henning Hall Nursing Home,1,2,1,0,1,0,0
Hereford County Hospital,1,1,1,1,0,0,0
Hereford Medical Group,1,1,1,1,0,0,0
Herefordshire Clinical Commission Group,1,2,0,0,0,1,0
BUPA Care Homes,1,2,0,0,0,1,0
Herefordshire and Worcestershire Healthy Minds,1,1,1,1,0,0,0
Herries Lodge Care Home,1,1,0,0,0,1,0
Hawthorn Green Care Home,1,1,0,0,0,1,0
Hertfordshire & West Essex Integrated Care Board,1,3,3,1,0,0,0
BUPA Ardenlea Grove Nursing Home,1,1,1,1,0,0,0
Hertfordshire Trading Standards,1,2,2,1,0,0,0
Herts Urgent care Limited,1,3,0,0,0,1,0
Hewett School,1,1,0,0,0,1,0
Heywood Health,1,4,0,0,0,1,0
Hibiscus Housing Association Limited,1,4,3,0,1,0,0
High Commissioner for Saint Lucia to the UK,1,1,0,0,0,1,0
High Meadows Care Home,1,1,2,1,0,0,0
Heaton Moor Medical Group,1,1,0,0,0,1,0
Heaton Moor Medical Centre,1,2,1,0,1,0,0
Heaton Medical Centre,1,1,0,0,0,0,1
Heathrow Airport,1,1,1,1,0,0,0
Haywood Hospital,1,2,0,0,0,1,0
Hazelmere Medical Centre,1,3,3,1,0,0,0
"Head of Healthcare, HMP Leeds",1,2,1,0,0,1,0
Head of Safeguarding,1,1,2,0,0,1,0
Head of the Roman Catholic Church of England and Wales,1,1,1,1,0,0,0
Health Education East of England,1,1,1,1,0,0,0
Health Education and Improvement Wales,1,1,1,1,0,0,0
Health Services Safety Investigations Board,1,7,8,0,1,0,0
Health Services Safety Investigations Body (HSSIB),1,4,1,0,0,1,0
Health and Communities Wakefield,1,1,1,1,0,0,0
Health and Housing – Central Bedfordshire,1,5,0,0,0,1,0
Backhouse Jones,1,4,1,0,1,0,0
Healthcare Care UK,1,2,2,1,0,0,0
Healthcare Management Solutions Ltd,1,1,0,0,0,1,0
Healthcare Quality Improvement Partnership Ltd,1,2,2,1,0,0,0
BUPA UK Provision,1,2,0,0,0,1,0
BUPA UK,1,1,1,1,0,0,0
"Heath Secretary, Department of Health",1,5,4,0,0,1,0
Heathcotes Group,1,2,1,0,1,0,0
HMP YOI Portland,1,4,4,1,0,0,0
HMP YOI Glen Parva,1,2,1,0,0,1,0
HMP Wormwood Scrubs ,1,1,1,1,0,0,0
HM Prison,1,3,1,0,0,1,0
HC-One Limited,1,1,0,0,0,1,0
HCA Health Care UK,1,5,3,0,0,0,1
HCA Healthcare UK,1,1,1,1,0,0,0
HCRG,1,4,0,0,0,1,0
HCRG Care Group,1,1,1,1,0,0,0
HCRG Care Services Ltd,1,3,2,0,0,1,0
HICA Group,1,2,1,0,1,0,0
HM Inspectorate of Probation,1,1,0,0,0,1,0
HM Principle Specialist Inspector,1,2,0,0,0,1,0
HM Prison & Probation Service,1,4,1,0,0,1,0
Banes Park and Services,1,3,0,0,0,1,0
HM Prison & Probation Service ,1,1,1,1,0,0,0
HM Prison Bedford,1,1,0,0,0,0,1
HM Prison Leeds,1,2,0,0,0,1,0
HM Prison Pentonville,1,2,2,1,0,0,0
HM Prison Usk,1,2,1,0,0,1,0
HM Prison Wakefield,1,3,0,0,0,1,0
HM Prison Wealstun,1,2,1,0,0,1,0
Bank Close House Residential Care Home,1,1,0,0,0,1,0
HM YOI Glen Parva,1,2,2,1,0,0,0
HC-One Healthcare Company,1,3,2,0,1,0,0
HC-One,1,3,1,0,0,1,0
Bannatyne Group,1,1,1,1,0,0,0
HAE Ltd,1,3,0,0,0,1,0
Greater Manchester Integrated Care Partnership ,1,1,1,1,0,0,0
Greater Manchester Mental Health & Social Care Trust,1,2,2,1,0,0,0
Greater Manchester Mental Health NHS Foundation Trust (GMMH),1,4,4,1,0,0,0
Greater Manchester Mental Health and Social Care,1,3,0,0,0,1,0
Bannau Brycheiniog National Park,1,5,0,0,0,0,1
Greater Manchester Police ,1,1,1,1,0,0,0
Greater Manchester Stroke Operational Delivery Network,1,2,0,0,0,1,0
Green Lane Care Homes Limited,1,2,1,0,0,1,0
Green Porch Medical Centre,1,1,1,1,0,0,0
Green Range Limited ,1,1,1,1,0,0,0
Green Surgery,1,3,2,0,1,0,0
Greenbrook Healthcare,1,2,2,1,0,0,0
Greenrod Place,1,2,0,0,0,1,0
Guest Medical,1,3,0,0,0,1,0
Guildford and Waverley Clinical Commissioning Group,1,4,0,0,0,1,0
Guinness Care,1,1,2,0,0,1,0
Gwern Alyn House Residential Home,1,1,1,1,0,0,0
Gwynedd Council,1,1,1,1,0,0,0
H R Healthcare Limited,1,2,1,0,0,0,1
HM Youth Offenders Institute Hindley,1,4,0,0,0,1,0
HMP Berwyn,1,2,1,0,0,0,1
Bamford Grange Care Home,1,2,1,0,1,0,0
HMP Stoke Health,1,2,1,0,0,1,0
HMP Nottingham,1,4,0,0,0,1,0
HMP Parc,1,3,0,0,0,1,0
Banes Clinical Commissioning Group,1,2,1,0,0,0,1
HMP Ranby,1,3,2,0,0,1,0
HMP Ranby ,1,1,1,1,0,0,0
HMP Rochester ,1,1,1,1,0,0,0
HMP Rye Hill,1,3,0,0,0,1,0
HMP Ryehill,1,1,0,0,0,0,1
HMP Stoke,1,2,2,1,0,0,0
HMP Stoke Heath,1,2,0,0,0,1,0
HMP Bristol,1,3,2,0,0,1,0
HMP Styal,1,2,1,0,0,1,0
HMP Thameside,1,4,4,1,0,0,0
HMP The Mount,1,2,0,0,0,1,0
HMP Usk,1,1,0,0,0,1,0
HMP Wakefield,1,2,1,0,0,1,0
Bampton Surgery,1,1,1,1,0,0,0
HMP Wayland,1,1,2,0,0,1,0
Bamford Grange Nursing Home,1,1,0,0,0,1,0
"HMP Woodhill,",1,2,2,1,0,0,0
HMP Northumberland,1,1,1,1,0,0,0
HMP North Sea Camp,1,5,0,0,0,1,0
HMP Lowdham Grange ,1,1,1,1,0,0,0
HMP Lowdham Grange,1,1,2,1,0,0,0
HMP Bullingdon,1,1,1,1,0,0,0
HMP Cardiff,1,4,3,0,1,0,0
HMP Coldingley,1,4,3,0,1,0,0
HMP Cookham Wood,1,5,5,1,0,0,0
HMP Dartmoor,1,1,1,1,0,0,0
HMP Downview,1,3,1,0,0,1,0
HMP Eastwood Park,1,4,3,0,1,0,0
HMP Elmley ,1,1,0,0,0,0,1
HMP Featherstone,1,1,1,1,0,0,0
HMP Forest Bank,1,2,1,0,0,1,0
HMP Frankland,1,2,1,0,0,1,0
HMP Grendon,1,1,0,0,0,1,0
HMP Guys Marsh Prison,1,1,1,1,0,0,0
HMP Highpoint,1,1,0,0,0,1,0
HMP Humber,1,1,0,0,0,1,0
HMP Lancaster Farms,1,1,2,1,0,0,0
HMP Leicester,1,1,1,1,0,0,0
HMP Liverpool,1,1,0,0,0,0,1
Banes Highways,1,3,0,0,0,1,0
High St Surgery,1,2,2,1,0,0,0
Highgrove Rest Home,1,1,1,1,0,0,0
Langdon Hospital,1,2,1,0,1,0,0
Johnnie Johnson Housing,1,1,1,1,0,0,0
Jeesal Residential Care Services,1,2,2,1,0,0,0
Jesta Capital Corporation,1,1,0,0,0,1,0
Jet2.com Ltd,1,2,2,1,0,0,0
Jigsaw Homes Group,1,2,1,0,1,0,0
Jigsaw Homes Tameside,1,1,1,1,0,0,0
Jockey Club,1,20,22,0,1,0,0
John Radcliffe Hospital,1,1,1,1,0,0,0
John Somerscales Ltd,1,1,0,0,0,1,0
John Stanley Agency,1,1,1,1,0,0,0
Johnson and Johnson Medical Devices,1,2,1,0,0,1,0
James Cook University Hospital,1,1,1,1,0,0,0
Joint Advisory Group on GI Endoscopy,1,5,4,0,1,0,0
Joint Select Committee for the Draft Online Safety Bill,1,3,1,0,0,1,0
Jubilee Court Nursing Home,1,2,0,0,0,1,0
Jubilee Gardens Care Centre,1,5,5,1,0,0,0
Jubilee Stores,1,3,1,0,0,0,1
Jurys Inn Birmingham,1,1,0,0,0,1,0
Just Eats,1,4,4,1,0,0,0
Kendal Calling,1,3,3,1,0,0,0
Kendray Hospital,1,2,1,0,0,1,0
James Paget University NHS Foundation Trust ,1,1,2,0,0,1,0
Jaguar Land Rover ,1,1,1,1,0,0,0
Highlands and Trafalgar Square Surgery,1,1,1,1,0,0,0
Isle of Wight Adult Safeguarding Team,1,3,0,0,0,1,0
Intensive Care Medicine,1,1,1,1,0,0,0
Intensive Care Society of England and Wales,1,1,0,0,0,1,0
Internation Scientific Supplies Ltd,1,1,1,1,0,0,0
International Maritime Organisation,1,2,1,0,0,0,1
International Organization of Motor Vehicle manufacturers,1,8,0,0,0,1,0
Interweave,1,1,1,1,0,0,0
Invacare Rehabilitation,1,3,3,1,0,0,0
Ipswich Hospital,1,1,0,0,0,1,0
Irish Aviation Authority,1,3,3,1,0,0,0
Isle of Wight Ambulance Service,1,2,0,0,0,1,0
JV Ltd,1,2,2,1,0,0,0
Isle of Wight Highways Department,1,1,1,1,0,0,0
BMI The Shelburne Hospital,1,1,1,1,0,0,0
Islington Council,1,3,3,1,0,0,0
Islington Council ,1,1,1,1,0,0,0
Islington Social Services,1,3,4,0,1,0,0
Iveagh Surgery,1,3,0,0,0,1,0
J A Mitchell & Sons,1,4,3,0,1,0,0
JD Wetherspoon PLC,1,1,1,1,0,0,0
JHS Contracts,1,4,2,0,1,0,0
Kenny & Murphy Limited ,1,1,1,1,0,0,0
Kent & Medway NHS & Social Care Partnership Trust,1,2,0,0,0,1,0
Kent Central Ambulance Service   ,1,1,1,1,0,0,0
Lambeth Council,1,18,5,0,1,0,0
LAS Legal Services,1,4,2,0,0,1,0
LEC Refrigeration,1,2,0,0,0,1,0
LNER,1,2,2,1,0,0,0
LPFT Legal Services,1,3,1,0,0,1,0
LTE Group,1,1,0,0,0,1,0
LTHTR,1,1,0,0,0,1,0
Laing O’Rourke UK & Europe,1,2,2,1,0,0,0
Lakeview Care Home,1,3,1,0,0,1,0
Lambeth Borough Council,1,2,2,1,0,0,0
Lambton Care Home,1,1,1,1,0,0,0
Kent Community Health NHS Foundation Trust,1,1,0,0,0,1,0
Lambton House LTD,1,1,1,1,0,0,0
Lancashire Care Foundation Trust,1,1,0,0,0,1,0
Lancashire Teaching Hospital,1,1,0,0,0,1,0
Lancashire and South Cumbria NHS Foundation Trust,1,1,1,1,0,0,0
Lancs & Cumbria Lifts UK Ltd,1,4,0,0,0,1,0
Land Owner,1,2,1,0,0,1,0
Lands End Resort,1,3,0,0,0,0,1
"Lands, Estates and Property Housing and Land Directorate, Greater London Authority",1,3,1,0,0,1,0
Landsec,1,1,1,1,0,0,0
LANTRA,1,6,7,0,1,0,0
L&Q Group Housing,1,1,1,1,0,0,0
Kockey Road Medical Centre,1,1,1,1,0,0,0
Knowle House Surgery,1,1,2,0,0,1,0
BMI Hospitals,1,5,2,0,1,0,0
Kent and Canterbury Hospital,1,1,1,1,0,0,0
Kent and Medway Cancer Collaborative,1,1,0,0,0,1,0
Kent and Medway Mental Health Directorate,1,3,0,0,0,1,0
Kent and Medway Mental Health Trust,1,2,0,0,0,1,0
BMI Hospital Thornbury,1,5,0,0,0,1,0
BMI Healthcare Limited,1,1,0,0,0,1,0
Kier Highways Ltd,1,2,1,0,0,1,0
Killick Street Health Centre,1,1,1,1,0,0,0
Kindandental,1,2,2,1,0,0,0
King Street Medical Centre,1,1,0,0,0,1,0
King Street Medical Practice,1,2,0,0,0,1,0
Kingkabs ,1,1,1,1,0,0,0
BMI Healthcare,1,2,1,0,0,1,0
Kingsley Care Home,1,2,1,0,0,1,0
Kingston Council,1,18,5,0,1,0,0
Kingston Hospital NHS Trust,1,2,1,0,1,0,0
Kingston Upon Hull Council,1,3,1,0,0,1,0
Kirby Road Surgery,1,1,1,1,0,0,0
Integrated Health Board NHS Sussex,1,2,2,1,0,0,0
Integrated Care Board (NHS North East and North Cumbria),1,7,7,1,0,0,0
Integrated Care Board,1,4,0,0,0,1,0
BOC Limited,1,1,1,1,0,0,0
Home Affairs,1,4,0,0,0,1,0
Home Care Support Limited,1,2,1,0,0,1,0
Home Department,1,5,10,0,1,0,0
Home Dot Care Limited,1,3,4,0,1,0,0
Home Farm Trust Limited,1,1,1,1,0,0,0
Home Group,1,1,0,0,0,1,0
Home Group Limited ,1,1,1,1,0,0,0
Home Instead Senior Care,1,1,0,0,0,1,0
BSI Group,1,4,4,1,0,0,0
Homerton Healthcare NHS Foundation Trust,1,2,0,0,0,0,1
Housing of Vulnerable People (Building Safety),1,1,1,1,0,0,0
Homerton University Hospital NHS Trust ,1,1,1,1,0,0,0
Homerton University NHS Trust,1,2,0,0,0,1,0
Honda UK,1,3,0,0,0,1,0
Hopwood House Medical Practice,1,3,3,1,0,0,0
Horsham and Mid Sussex Clinical Commissioning Group,1,2,2,1,0,0,0
"Hospital Manager, Goring Hall",1,5,4,0,0,1,0
Hospital NHS Trust Derriford Hospital,1,2,1,0,0,1,0
Hotpoint UK Appliances Limited,1,7,8,0,1,0,0
Hoults Limited,1,2,0,0,0,1,0
Holy Cross Hospital,1,1,1,1,0,0,0
Holmleigh Care Homes Ltd,1,2,1,0,1,0,0
Holmes Care Group Limited,1,1,0,0,0,1,0
Holme Farm,1,1,1,1,0,0,0
Highways Agency Essex County Council,1,1,1,1,0,0,0
"Highways Authority, Cornwall Council",1,2,1,0,0,1,0
Highways Department Birmingham City Council,1,1,1,1,0,0,0
Highways Department ,1,1,1,1,0,0,0
BT,1,3,0,0,0,1,0
Highways England National Traffic Operations Centre,1,1,1,1,0,0,0
Highways England ,1,1,1,1,0,0,0
Highways Infrastructure Development and Waste,1,1,0,0,0,1,0
"Highways and Infrastructure, Birmingham City Council",1,1,1,1,0,0,0
Hillbrook Grange Residential Care Home,1,1,1,1,0,0,0
Hillcare Group,1,2,2,1,0,0,0
Hillingdon Council,1,3,1,0,0,1,0
Hilton Hotel,1,2,2,1,0,0,0
Himalayan Encounters,1,5,1,0,0,1,0
Hinchingbrooke Hospital,1,1,1,1,0,0,0
